2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,National Employment Matrix link,
        Coaches and scouts,'27-2022,Line item,Projections for 27-2022,
"        Umpires, referees, and other sports officials",'27-2023,Line item,Projections for 27-2023,
      Dancers and choreographers,'27-2030,Summary,Projections for 27-2030,
        Dancers,'27-2031,Line item,Projections for 27-2031,
        Choreographers,'27-2032,Line item,Projections for 27-2032,
"      Musicians, singers, and related workers",'27-2040,Summary,Projections for 27-2040,
        Music directors and composers,'27-2041,Line item,Projections for 27-2041,
        Musicians and singers,'27-2042,Line item,Projections for 27-2042,
"      Miscellaneous entertainers and performers, sports and related workers",'27-2090,Summary,Projections for 27-2090,
"        Disc jockeys, except radio",'27-2091,Line item,Projections for 27-2091,
"        Entertainers and performers, sports and related workers, all other",'27-2099,Line item,Projections for 27-2099,
    Media and communication workers,'27-3000,Summary,Projections for 27-3000,
      Broadcast announcers and radio disc jockeys,'27-3011,Line item,Projections for 27-3011,
"      News analysts, reporters, and journalists",'27-3023,Line item,Projections for 27-3023,
      Public relations specialists,'27-3031,Line item,Projections for 27-3031,
      Writers and editors,'27-3040,Summary,Projections for 27-3040,
        Editors,'27-3041,Line item,Projections for 27-3041,
        Technical writers,'27-3042,Line item,Projections for 27-3042,
        Writers and authors,'27-3043,Line item,Projections for 27-3043,
      Miscellaneous media and communication workers,'27-3090,Summary,Projections for 27-3090,
        Interpreters and translators,'27-3091,Line item,Projections for 27-3091,
        Court reporters and simultaneous captioners,'27-3092,Line item,Projections for 27-3092,
"        Media and communication workers, all other",'27-3099,Line item,Projections for 27-3099,
    Media and communication equipment workers,'27-4000,Summary,Projections for 27-4000,
"      Broadcast, sound, and lighting technicians",'27-4010,Summary,Projections for 27-4010,
        Audio and video technicians,'27-4011,Line item,Projections for 27-4011,
        Broadcast technicians,'27-4012,Line item,Projections for 27-4012,
        Sound engineering technicians,'27-4014,Line item,Projections for 27-4014,
        Lighting technicians,'27-4015,Line item,Projections for 27-4015,
      Photographers,'27-4021,Line item,Projections for 27-4021,
"      Television, video, and film camera operators and editors",'27-4030,Summary,Projections for 27-4030,
"        Camera operators, television, video, and film",'27-4031,Line item,Projections for 27-4031,
        Film and video editors,'27-4032,Line item,Projections for 27-4032,
"      Media and communication equipment workers, all other",'27-4099,Line item,Projections for 27-4099,
  Healthcare practitioners and technical occupations,'29-0000,Summary,Projections for 29-0000,
    Healthcare diagnosing or treating practitioners,'29-1000,Summary,Projections for 29-1000,
      Chiropractors,'29-1011,Line item,Projections for 29-1011,
      Dentists,'29-1020,Summary,Projections for 29-1020,
"        Dentists, general",'29-1021,Line item,Projections for 29-1021,
        Oral and maxillofacial surgeons,'29-1022,Line item,Projections for 29-1022,
        Orthodontists,'29-1023,Line item,Projections for 29-1023,
        Prosthodontists,'29-1024,Line item,Projections for 29-1024,
"        Dentists, all other specialists",'29-1029,Line item,Projections for 29-1029,
      Dietitians and nutritionists,'29-1031,Line item,Projections for 29-1031,
      Optometrists,'29-1041,Line item,Projections for 29-1041,
      Pharmacists,'29-1051,Line item,Projections for 29-1051,
      Physician assistants,'29-1071,Line item,Projections for 29-1071,
      Podiatrists,'29-1081,Line item,Projections for 29-1081,
      Therapists,'29-1120,Summary,Projections for 29-1120,
        Occupational therapists,'29-1122,Line item,Projections for 29-1122,
        Physical therapists,'29-1123,Line item,Projections for 29-1123,
        Radiation therapists,'29-1124,Line item,Projections for 29-1124,
        Recreational therapists,'29-1125,Line item,Projections for 29-1125,
        Respiratory therapists,'29-1126,Line item,Projections for 29-1126,
        Speech-language pathologists,'29-1127,Line item,Projections for 29-1127,
        Exercise physiologists,'29-1128,Line item,Projections for 29-1128,
"        Therapists, all other",'29-1129,Line item,Projections for 29-1129,
      Veterinarians,'29-1131,Line item,Projections for 29-1131,
      Registered nurses,'29-1141,Line item,Projections for 29-1141,
      Nurse anesthetists,'29-1151,Line item,Projections for 29-1151,
      Nurse midwives,'29-1161,Line item,Projections for 29-1161,
      Nurse practitioners,'29-1171,Line item,Projections for 29-1171,
      Audiologists,'29-1181,Line item,Projections for 29-1181,
      Physicians,'29-1210,Summary,Projections for 29-1210,
        Anesthesiologists,'29-1211,Line item,Projections for 29-1211,
        Cardiologists,'29-1212,Line item,Projections for 29-1212,
        Dermatologists,'29-1213,Line item,Projections for 29-1213,
        Emergency medicine physicians,'29-1214,Line item,Projections for 29-1214,
        Family medicine physicians,'29-1215,Line item,Projections for 29-1215,
        General internal medicine physicians,'29-1216,Line item,Projections for 29-1216,
        Neurologists,'29-1217,Line item,Projections for 29-1217,
        Obstetricians and gynecologists,'29-1218,Line item,Projections for 29-1218,
"        Pediatricians, general",'29-1221,Line item,Projections for 29-1221,
"        Physicians, pathologists",'29-1222,Line item,Projections for 29-1222,
        Psychiatrists,'29-1223,Line item,Projections for 29-1223,
        Radiologists,'29-1224,Line item,Projections for 29-1224,
"        Physicians, all other",'29-1229,Line item,Projections for 29-1229,
      Surgeons,'29-1240,Summary,Projections for 29-1240,
"        Ophthalmologists, except pediatric",'29-1241,Line item,Projections for 29-1241,
"        Orthopedic surgeons, except pediatric",'29-1242,Line item,Projections for 29-1242,
        Pediatric surgeons,'29-1243,Line item,Projections for 29-1243,
"        Surgeons, all other",'29-1249,Line item,Projections for 29-1249,
      Miscellaneous healthcare diagnosing or treating practitioners,'29-1290,Summary,Projections for 29-1290,
        Acupuncturists,'29-1291,Line item,Projections for 29-1291,
        Dental hygienists,'29-1292,Line item,Projections for 29-1292,
"        Healthcare diagnosing or treating practitioners, all other",'29-1299,Line item,Projections for 29-1299,
    Health technologists and technicians,'29-2000,Summary,Projections for 29-2000,
      Clinical laboratory technologists and technicians,'29-2010,Line item,Projections for 29-2010,
      Diagnostic related technologists and technicians,'29-2030,Summary,Projections for 29-2030,
        Cardiovascular technologists and technicians,'29-2031,Line item,Projections for 29-2031,
        Diagnostic medical sonographers,'29-2032,Line item,Projections for 29-2032,
        Nuclear medicine technologists,'29-2033,Line item,Projections for 29-2033,
        Radiologic technologists and technicians,'29-2034,Line item,Projections for 29-2034,
        Magnetic resonance imaging technologists,'29-2035,Line item,Projections for 29-2035,
        Medical dosimetrists,'29-2036,Line item,Projections for 29-2036,
      Emergency medical technicians and paramedics,'29-2040,Summary,Projections for 29-2040,
        Emergency medical technicians,'29-2042,Line item,Projections for 29-2042,
        Paramedics,'29-2043,Line item,Projections for 29-2043,
      Health practitioner support technologists and technicians,'29-2050,Summary,Projections for 29-2050,
        Dietetic technicians,'29-2051,Line item,Projections for 29-2051,
        Pharmacy technicians,'29-2052,Line item,Projections for 29-2052,
        Psychiatric technicians,'29-2053,Line item,Projections for 29-2053,
        Surgical technologists,'29-2055,Line item,Projections for 29-2055,
        Veterinary technologists and technicians,'29-2056,Line item,Projections for 29-2056,
        Ophthalmic medical technicians,'29-2057,Line item,Projections for 29-2057,
      Licensed practical and licensed vocational nurses,'29-2061,Line item,Projections for 29-2061,
      Medical records specialists,'29-2072,Line item,Projections for 29-2072,
"      Opticians, dispensing",'29-2081,Line item,Projections for 29-2081,
      Miscellaneous health technologists and technicians,'29-2090,Summary,Projections for 29-2090,
        Orthotists and prosthetists,'29-2091,Line item,Projections for 29-2091,
        Hearing aid specialists,'29-2092,Line item,Projections for 29-2092,
"        Health technologists and technicians, all other",'29-2099,Line item,Projections for 29-2099,
    Other healthcare practitioners and technical occupations,'29-9000,Summary,Projections for 29-9000,
      Health information technologists and medical registrars,'29-9021,Line item,Projections for 29-9021,
      Miscellaneous health practitioners and technical workers,'29-9090,Summary,Projections for 29-9090,
        Athletic trainers,'29-9091,Line item,Projections for 29-9091,
        Genetic counselors,'29-9092,Line item,Projections for 29-9092,
        Surgical assistants,'29-9093,Line item,Projections for 29-9093,
"        Healthcare practitioners and technical workers, all other",'29-9099,Line item,Projections for 29-9099,
  Healthcare support occupations,'31-0000,Summary,Projections for 31-0000,
"    Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",'31-1100,Summary,Projections for 31-1100,
      Home health and personal care aides,'31-1120,Line item,Projections for 31-1120,
"      Nursing assistants, orderlies, and psychiatric aides",'31-1130,Summary,Projections for 31-1130,
        Nursing assistants,'31-1131,Line item,Projections for 31-1131,
        Orderlies,'31-1132,Line item,Projections for 31-1132,
        Psychiatric aides,'31-1133,Line item,Projections for 31-1133,
    Occupational therapy and physical therapist assistants and aides,'31-2000,Summary,Projections for 31-2000,
      Occupational therapy assistants and aides,'31-2010,Summary,Projections for 31-2010,
        Occupational therapy assistants,'31-2011,Line item,Projections for 31-2011,
        Occupational therapy aides,'31-2012,Line item,Projections for 31-2012,
      Physical therapist assistants and aides,'31-2020,Summary,Projections for 31-2020,
        Physical therapist assistants,'31-2021,Line item,Projections for 31-2021,
        Physical therapist aides,'31-2022,Line item,Projections for 31-2022,
    Other healthcare support occupations,'31-9000,Summary,Projections for 31-9000,
      Massage therapists,'31-9011,Line item,Projections for 31-9011,
      Miscellaneous healthcare support occupations,'31-9090,Summary,Projections for 31-9090,
        Dental assistants,'31-9091,Line item,Projections for 31-9091,
        Medical assistants,'31-9092,Line item,Projections for 31-9092,
        Medical equipment preparers,'31-9093,Line item,Projections for 31-9093,
        Medical transcriptionists,'31-9094,Line item,Projections for 31-9094,
        Pharmacy aides,'31-9095,Line item,Projections for 31-9095,
        Veterinary assistants and laboratory animal caretakers,'31-9096,Line item,Projections for 31-9096,
        Phlebotomists,'31-9097,Line item,Projections for 31-9097,
"        Healthcare support workers, all other",'31-9099,Line item,Projections for 31-9099,
  Protective service occupations,'33-0000,Summary,Projections for 33-0000,
    Supervisors of protective service workers,'33-1000,Summary,Projections for 33-1000,
      First-line supervisors of law enforcement workers,'33-1010,Summary,Projections for 33-1010,
        First-line supervisors of correctional officers,'33-1011,Line item,Projections for 33-1011,
        First-line supervisors of police and detectives,'33-1012,Line item,Projections for 33-1012,
      First-line supervisors of firefighting and prevention workers,'33-1021,Line item,Projections for 33-1021,
"      Miscellaneous first-line supervisors, protective service workers",'33-1090,Summary,Projections for 33-1090,
        First-line supervisors of security workers,'33-1091,Line item,Projections for 33-1091,
"        First-line supervisors of protective service workers, all other",'33-1099,Line item,Projections for 33-1099,
    Firefighting and prevention workers,'33-2000,Summary,Projections for 33-2000,
      Firefighters,'33-2011,Line item,Projections for 33-2011,
      Fire inspectors,'33-2020,Summary,Projections for 33-2020,
        Fire inspectors and investigators,'33-2021,Line item,Projections for 33-2021,
        Forest fire inspectors and prevention specialists,'33-2022,Line item,Projections for 33-2022,
    Law enforcement workers,'33-3000,Summary,Projections for 33-3000,
"      Bailiffs, correctional officers, and jailers",'33-3010,Summary,Projections for 33-3010,
        Bailiffs,'33-3011,Line item,Projections for 33-3011,
        Correctional officers and jailers,'33-3012,Line item,Projections for 33-3012,
      Detectives and criminal investigators,'33-3021,Line item,Projections for 33-3021,
      Fish and game wardens,'33-3031,Line item,Projections for 33-3031,
      Parking enforcement workers,'33-3041,Line item,Projections for 33-3041,
      Police officers,'33-3050,Summary,Projections for 33-3050,
        Police and sheriff's patrol officers,'33-3051,Line item,Projections for 33-3051,
        Transit and railroad police,'33-3052,Line item,Projections for 33-3052,
    Other protective service workers,'33-9000,Summary,Projections for 33-9000,
      Animal control workers,'33-9011,Line item,Projections for 33-9011,
      Private detectives and investigators,'33-9021,Line item,Projections for 33-9021,
      Security guards and gambling surveillance officers,'33-9030,Summary,Projections for 33-9030,
        Gambling surveillance officers and gambling investigators,'33-9031,Line item,Projections for 33-9031,
        Security guards,'33-9032,Line item,Projections for 33-9032,
      Miscellaneous protective service workers,'33-9090,Summary,Projections for 33-9090,
        Crossing guards and flaggers,'33-9091,Line item,Projections for 33-9091,
"        Lifeguards, ski patrol, and other recreational protective service workers",'33-9092,Line item,Projections for 33-9092,
        Transportation security screeners,'33-9093,Line item,Projections for 33-9093,
        School bus monitors,'33-9094,Line item,Projections for 33-9094,
"        Protective service workers, all other",'33-9099,Line item,Projections for 33-9099,
  Food preparation and serving related occupations,'35-0000,Summary,Projections for 35-0000,
    Supervisors of food preparation and serving workers,'35-1000,Summary,Projections for 35-1000,
      Chefs and head cooks,'35-1011,Line item,Projections for 35-1011,
      First-line supervisors of food preparation and serving workers,'35-1012,Line item,Projections for 35-1012,
    Cooks and food preparation workers,'35-2000,Summary,Projections for 35-2000,
      Cooks,'35-2010,Summary,Projections for 35-2010,
"        Cooks, fast food",'35-2011,Line item,Projections for 35-2011,
"        Cooks, institution and cafeteria",'35-2012,Line item,Projections for 35-2012,
"        Cooks, private household",'35-2013,Line item,Projections for 35-2013,
"        Cooks, restaurant",'35-2014,Line item,Projections for 35-2014,
"        Cooks, short order",'35-2015,Line item,Projections for 35-2015,
"        Cooks, all other",'35-2019,Line item,Projections for 35-2019,
      Food preparation workers,'35-2021,Line item,Projections for 35-2021,
    Food and beverage serving workers,'35-3000,Summary,Projections for 35-3000,
      Bartenders,'35-3011,Line item,Projections for 35-3011,
      Fast food and counter workers,'35-3023,Line item,Projections for 35-3023,
      Waiters and waitresses,'35-3031,Line item,Projections for 35-3031,
"      Food servers, nonrestaurant",'35-3041,Line item,Projections for 35-3041,
    Other food preparation and serving related workers,'35-9000,Summary,Projections for 35-9000,
      Dining room and cafeteria attendants and bartender helpers,'35-9011,Line item,Projections for 35-9011,
      Dishwashers,'35-9021,Line item,Projections for 35-9021,
"      Hosts and hostesses, restaurant, lounge, and coffee shop",'35-9031,Line item,Projections for 35-9031,
"      Food preparation and serving related workers, all other",'35-9099,Line item,Projections for 35-9099,
  Building and grounds cleaning and maintenance occupations,'37-0000,Summary,Projections for 37-0000,
    Supervisors of building and grounds cleaning and maintenance workers,'37-1000,Summary,Projections for 37-1000,
      First-line supervisors of housekeeping and janitorial workers,'37-1011,Line item,Projections for 37-1011,
"      First-line supervisors of landscaping, lawn service, and groundskeeping workers",'37-1012,Line item,Projections for 37-1012,
    Building cleaning and pest control workers,'37-2000,Summary,Projections for 37-2000,
      Building cleaning workers,'37-2010,Summary,Projections for 37-2010,
"        Janitors and cleaners, except maids and housekeeping cleaners",'37-2011,Line item,Projections for 37-2011,
        Maids and housekeeping cleaners,'37-2012,Line item,Projections for 37-2012,
"        Building cleaning workers, all other",'37-2019,Line item,Projections for 37-2019,
      Pest control workers,'37-2021,Line item,Projections for 37-2021,
    Grounds maintenance workers,'37-3000,Summary,Projections for 37-3000,
      Landscaping and groundskeeping workers,'37-3011,Line item,Projections for 37-3011,
"      Pesticide handlers, sprayers, and applicators, vegetation",'37-3012,Line item,Projections for 37-3012,
      Tree trimmers and pruners,'37-3013,Line item,Projections for 37-3013,
"      Grounds maintenance workers, all other",'37-3019,Line item,Projections for 37-3019,
  Personal care and service occupations,'39-0000,Summary,Projections for 39-0000,
    Supervisors of personal care and service workers,'39-1000,Summary,Projections for 39-1000,
      First-line supervisors of entertainment and recreation workers,'39-1010,Summary,Projections for 39-1010,
        First-line supervisors of gambling services workers,'39-1013,Line item,Projections for 39-1013,
"        First-line supervisors of entertainment and recreation workers, except gambling services",'39-1014,Line item,Projections for 39-1014,
      First-line supervisors of personal service workers,'39-1022,Line item,Projections for 39-1022,
    Animal care and service workers,'39-2000,Summary,Projections for 39-2000,
      Animal trainers,'39-2011,Line item,Projections for 39-2011,
      Animal caretakers,'39-2021,Line item,Projections for 39-2021,
    Entertainment attendants and related workers,'39-3000,Summary,Projections for 39-3000,
      Gambling services workers,'39-3010,Summary,Projections for 39-3010,
        Gambling dealers,'39-3011,Line item,Projections for 39-3011,
        Gambling and sports book writers and runners,'39-3012,Line item,Projections for 39-3012,
"        Gambling service workers, all other",'39-3019,Line item,Projections for 39-3019,
      Motion picture projectionists,'39-3021,Line item,Projections for 39-3021,
"      Ushers, lobby attendants, and ticket takers",'39-3031,Line item,Projections for 39-3031,
      Miscellaneous entertainment attendants and related workers,'39-3090,Summary,Projections for 39-3090,
        Amusement and recreation attendants,'39-3091,Line item,Projections for 39-3091,
        Costume attendants,'39-3092,Line item,Projections for 39-3092,
"        Locker room, coatroom, and dressing room attendants",'39-3093,Line item,Projections for 39-3093,
"        Entertainment attendants and related workers, all other",'39-3099,Line item,Projections for 39-3099,
    Funeral service workers,'39-4000,Summary,Projections for 39-4000,
      Embalmers and crematory operators,'39-4010,Summary,Projections for 39-4010,
        Embalmers,'39-4011,Line item,Projections for 39-4011,
        Crematory operators,'39-4012,Line item,Projections for 39-4012,
      Funeral attendants,'39-4021,Line item,Projections for 39-4021,
"      Morticians, undertakers, and funeral arrangers",'39-4031,Line item,Projections for 39-4031,
    Personal appearance workers,'39-5000,Summary,Projections for 39-5000,
"      Barbers, hairdressers, hairstylists and cosmetologists",'39-5010,Summary,Projections for 39-5010,
        Barbers,'39-5011,Line item,Projections for 39-5011,
"        Hairdressers, hairstylists, and cosmetologists",'39-5012,Line item,Projections for 39-5012,
      Miscellaneous personal appearance workers,'39-5090,Summary,Projections for 39-5090,
"        Makeup artists, theatrical and performance",'39-5091,Line item,Projections for 39-5091,
        Manicurists and pedicurists,'39-5092,Line item,Projections for 39-5092,
        Shampooers,'39-5093,Line item,Projections for 39-5093,
        Skincare specialists,'39-5094,Line item,Projections for 39-5094,
"    Baggage porters, bellhops, and concierges",'39-6000,Summary,Projections for 39-6000,
      Baggage porters and bellhops,'39-6011,Line item,Projections for 39-6011,
      Concierges,'39-6012,Line item,Projections for 39-6012,
    Tour and travel guides,'39-7000,Summary,Projections for 39-7000,
      Tour and travel guides,'39-7010,Line item,Projections for 39-7010,
    Other personal care and service workers,'39-9000,Summary,Projections for 39-9000,
      Childcare workers,'39-9011,Line item,Projections for 39-9011,
      Recreation and fitness workers,'39-9030,Summary,Projections for 39-9030,
        Exercise trainers and group fitness instructors,'39-9031,Line item,Projections for 39-9031,
        Recreation workers,'39-9032,Line item,Projections for 39-9032,
      Residential advisors,'39-9041,Line item,Projections for 39-9041,
"      Personal care and service workers, all other",'39-9099,Line item,Projections for 39-9099,
  Sales and related occupations,'41-0000,Summary,Projections for 41-0000,
    Supervisors of sales workers,'41-1000,Summary,Projections for 41-1000,
      First-line supervisors of retail sales workers,'41-1011,Line item,Projections for 41-1011,
      First-line supervisors of non-retail sales workers,'41-1012,Line item,Projections for 41-1012,
    Retail sales workers,'41-2000,Summary,Projections for 41-2000,
      Cashiers,'41-2010,Summary,Projections for 41-2010,
        Cashiers,'41-2011,Line item,Projections for 41-2011,
        Gambling change persons and booth cashiers,'41-2012,Line item,Projections for 41-2012,
      Counter and rental clerks and parts salespersons,'41-2020,Summary,Projections for 41-2020,
        Counter and rental clerks,'41-2021,Line item,Projections for 41-2021,
        Parts salespersons,'41-2022,Line item,Projections for 41-2022,
      Retail salespersons,'41-2031,Line item,Projections for 41-2031,
"    Sales representatives, services",'41-3000,Summary,Projections for 41-3000,
      Advertising sales agents,'41-3011,Line item,Projections for 41-3011,
      Insurance sales agents,'41-3021,Line item,Projections for 41-3021,
"      Securities, commodities, and financial services sales agents",'41-3031,Line item,Projections for 41-3031,
      Travel agents,'41-3041,Line item,Projections for 41-3041,
"      Sales representatives of services, except advertising, insurance, financial services, and travel",'41-3091,Line item,Projections for 41-3091,
"    Sales representatives, wholesale and manufacturing",'41-4000,Summary,Projections for 41-4000,
"      Sales representatives, wholesale and manufacturing, technical and scientific products",'41-4011,Line item,Projections for 41-4011,
"      Sales representatives, wholesale and manufacturing, except technical and scientific products",'41-4012,Line item,Projections for 41-4012,
    Other sales and related workers,'41-9000,Summary,Projections for 41-9000,
"      Models, demonstrators, and product promoters",'41-9010,Summary,Projections for 41-9010,
        Demonstrators and product promoters,'41-9011,Line item,Projections for 41-9011,
        Models,'41-9012,Line item,Projections for 41-9012,
      Real estate brokers and sales agents,'41-9020,Summary,Projections for 41-9020,
        Real estate brokers,'41-9021,Line item,Projections for 41-9021,
        Real estate sales agents,'41-9022,Line item,Projections for 41-9022,
      Sales engineers,'41-9031,Line item,Projections for 41-9031,
      Telemarketers,'41-9041,Line item,Projections for 41-9041,
      Miscellaneous sales and related workers,'41-9090,Summary,Projections for 41-9090,
"        Door-to-door sales workers, news and street vendors, and related workers",'41-9091,Line item,Projections for 41-9091,
"        Sales and related workers, all other",'41-9099,Line item,Projections for 41-9099,
  Office and administrative support occupations,'43-0000,Summary,Projections for 43-0000,
    Supervisors of office and administrative support workers,'43-1000,Summary,Projections for 43-1000,
      First-line supervisors of office and administrative support workers,'43-1011,Line item,Projections for 43-1011,
    Communications equipment operators,'43-2000,Summary,Projections for 43-2000,
"      Switchboard operators, including answering service",'43-2011,Line item,Projections for 43-2011,
      Telephone operators,'43-2021,Line item,Projections for 43-2021,
"      Communications equipment operators, all other",'43-2099,Line item,Projections for 43-2099,
    Financial clerks,'43-3000,Summary,Projections for 43-3000,
      Bill and account collectors,'43-3011,Line item,Projections for 43-3011,
      Billing and posting clerks,'43-3021,Line item,Projections for 43-3021,
"      Bookkeeping, accounting, and auditing clerks",'43-3031,Line item,Projections for 43-3031,
      Gambling cage workers,'43-3041,Line item,Projections for 43-3041,
      Payroll and timekeeping clerks,'43-3051,Line item,Projections for 43-3051,
      Procurement clerks,'43-3061,Line item,Projections for 43-3061,
      Tellers,'43-3071,Line item,Projections for 43-3071,
"      Financial clerks, all other",'43-3099,Line item,Projections for 43-3099,
    Information and record clerks,'43-4000,Summary,Projections for 43-4000,
      Brokerage clerks,'43-4011,Line item,Projections for 43-4011,
      Correspondence clerks,'43-4021,Line item,Projections for 43-4021,
"      Court, municipal, and license clerks",'43-4031,Line item,Projections for 43-4031,
"      Credit authorizers, checkers, and clerks",'43-4041,Line item,Projections for 43-4041,
      Customer service representatives,'43-4051,Line item,Projections for 43-4051,
"      Eligibility interviewers, government programs",'43-4061,Line item,Projections for 43-4061,
      File clerks,'43-4071,Line item,Projections for 43-4071,
"      Hotel, motel, and resort desk clerks",'43-4081,Line item,Projections for 43-4081,
"      Interviewers, except eligibility and loan",'43-4111,Line item,Projections for 43-4111,
"      Library assistants, clerical",'43-4121,Line item,Projections for 43-4121,
      Loan interviewers and clerks,'43-4131,Line item,Projections for 43-4131,
      New accounts clerks,'43-4141,Line item,Projections for 43-4141,
      Order clerks,'43-4151,Line item,Projections for 43-4151,
"      Human resources assistants, except payroll and timekeeping",'43-4161,Line item,Projections for 43-4161,
      Receptionists and information clerks,'43-4171,Line item,Projections for 43-4171,
      Reservation and transportation ticket agents and travel clerks,'43-4181,Line item,Projections for 43-4181,
"      Information and record clerks, all other",'43-4199,Line item,Projections for 43-4199,
"    Material recording, scheduling, dispatching, and distributing workers",'43-5000,Summary,Projections for 43-5000,
      Cargo and freight agents,'43-5011,Line item,Projections for 43-5011,
      Couriers and messengers,'43-5021,Line item,Projections for 43-5021,
      Dispatchers,'43-5030,Summary,Projections for 43-5030,
        Public safety telecommunicators,'43-5031,Line item,Projections for 43-5031,
"        Dispatchers, except police, fire, and ambulance",'43-5032,Line item,Projections for 43-5032,
"      Meter readers, utilities",'43-5041,Line item,Projections for 43-5041,
      Postal service workers,'43-5050,Summary,Projections for 43-5050,
        Postal service clerks,'43-5051,Line item,Projections for 43-5051,
        Postal service mail carriers,'43-5052,Line item,Projections for 43-5052,
"        Postal service mail sorters, processors, and processing machine operators",'43-5053,Line item,Projections for 43-5053,
"      Production, planning, and expediting clerks",'43-5061,Line item,Projections for 43-5061,
"      Shipping, receiving, and inventory clerks",'43-5071,Line item,Projections for 43-5071,
"      Weighers, measurers, checkers, and samplers, recordkeeping",'43-5111,Line item,Projections for 43-5111,
    Secretaries and administrative assistants,'43-6000,Summary,Projections for 43-6000,
      Executive secretaries and executive administrative assistants,'43-6011,Line item,Projections for 43-6011,
      Legal secretaries and administrative assistants,'43-6012,Line item,Projections for 43-6012,
      Medical secretaries and administrative assistants,'43-6013,Line item,Projections for 43-6013,
"      Secretaries and administrative assistants, except legal, medical, and executive",'43-6014,Line item,Projections for 43-6014,
    Other office and administrative support workers,'43-9000,Summary,Projections for 43-9000,
      Data entry and information processing workers,'43-9020,Summary,Projections for 43-9020,
        Data entry keyers,'43-9021,Line item,Projections for 43-9021,
        Word processors and typists,'43-9022,Line item,Projections for 43-9022,
      Desktop publishers,'43-9031,Line item,Projections for 43-9031,
      Insurance claims and policy processing clerks,'43-9041,Line item,Projections for 43-9041,
"      Mail clerks and mail machine operators, except postal service",'43-9051,Line item,Projections for 43-9051,
"      Office clerks, general",'43-9061,Line item,Projections for 43-9061,
"      Office machine operators, except computer",'43-9071,Line item,Projections for 43-9071,
      Proofreaders and copy markers,'43-9081,Line item,Projections for 43-9081,
      Statistical assistants,'43-9111,Line item,Projections for 43-9111,
"      Office and administrative support workers, all other",'43-9199,Line item,Projections for 43-9199,
"  Farming, fishing, and forestry occupations",'45-0000,Summary,Projections for 45-0000,
"    Supervisors of farming, fishing, and forestry workers",'45-1000,Summary,Projections for 45-1000,
"      First-line supervisors of farming, fishing, and forestry workers",'45-1011,Line item,Projections for 45-1011,
    Agricultural workers,'45-2000,Summary,Projections for 45-2000,
      Agricultural inspectors,'45-2011,Line item,Projections for 45-2011,
      Animal breeders,'45-2021,Line item,Projections for 45-2021,
"      Graders and sorters, agricultural products",'45-2041,Line item,Projections for 45-2041,
      Miscellaneous agricultural workers,'45-2090,Summary,Projections for 45-2090,
        Agricultural equipment operators,'45-2091,Line item,Projections for 45-2091,
"        Farmworkers and laborers, crop, nursery, and greenhouse",'45-2092,Line item,Projections for 45-2092,
"        Farmworkers, farm, ranch, and aquacultural animals",'45-2093,Line item,Projections for 45-2093,
"        Agricultural workers, all other",'45-2099,Line item,Projections for 45-2099,
    Fishing and hunting workers,'45-3000,Summary,Projections for 45-3000,
      Fishing and hunting workers,'45-3031,Line item,Projections for 45-3031,
"    Forest, conservation, and logging workers",'45-4000,Summary,Projections for 45-4000,
      Forest and conservation workers,'45-4011,Line item,Projections for 45-4011,
      Logging workers,'45-4020,Summary,Projections for 45-4020,
        Fallers,'45-4021,Line item,Projections for 45-4021,
        Logging equipment operators,'45-4022,Line item,Projections for 45-4022,
        Log graders and scalers,'45-4023,Line item,Projections for 45-4023,
"        Logging workers, all other",'45-4029,Line item,Projections for 45-4029,
