2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,National Employment Matrix link,
  Construction and extraction occupations,'47-0000,Summary,Projections for 47-0000,
    Supervisors of construction and extraction workers,'47-1000,Summary,Projections for 47-1000,
      First-line supervisors of construction trades and extraction workers,'47-1011,Line item,Projections for 47-1011,
    Construction trades workers,'47-2000,Summary,Projections for 47-2000,
      Boilermakers,'47-2011,Line item,Projections for 47-2011,
"      Brickmasons, blockmasons, and stonemasons",'47-2020,Summary,Projections for 47-2020,
        Brickmasons and blockmasons,'47-2021,Line item,Projections for 47-2021,
        Stonemasons,'47-2022,Line item,Projections for 47-2022,
      Carpenters,'47-2031,Line item,Projections for 47-2031,
"      Carpet, floor, and tile installers and finishers",'47-2040,Summary,Projections for 47-2040,
        Carpet installers,'47-2041,Line item,Projections for 47-2041,
"        Floor layers, except carpet, wood, and hard tiles",'47-2042,Line item,Projections for 47-2042,
        Floor sanders and finishers,'47-2043,Line item,Projections for 47-2043,
        Tile and stone setters,'47-2044,Line item,Projections for 47-2044,
"      Cement masons, concrete finishers, and terrazzo workers",'47-2050,Summary,Projections for 47-2050,
        Cement masons and concrete finishers,'47-2051,Line item,Projections for 47-2051,
        Terrazzo workers and finishers,'47-2053,Line item,Projections for 47-2053,
      Construction laborers,'47-2061,Line item,Projections for 47-2061,
      Construction equipment operators,'47-2070,Summary,Projections for 47-2070,
"        Paving, surfacing, and tamping equipment operators",'47-2071,Line item,Projections for 47-2071,
        Pile driver operators,'47-2072,Line item,Projections for 47-2072,
        Operating engineers and other construction equipment operators,'47-2073,Line item,Projections for 47-2073,
"      Drywall installers, ceiling tile installers, and tapers",'47-2080,Summary,Projections for 47-2080,
        Drywall and ceiling tile installers,'47-2081,Line item,Projections for 47-2081,
        Tapers,'47-2082,Line item,Projections for 47-2082,
      Electricians,'47-2111,Line item,Projections for 47-2111,
      Glaziers,'47-2121,Line item,Projections for 47-2121,
      Insulation workers,'47-2130,Summary,Projections for 47-2130,
"        Insulation workers, floor, ceiling, and wall",'47-2131,Line item,Projections for 47-2131,
"        Insulation workers, mechanical",'47-2132,Line item,Projections for 47-2132,
      Painters and paperhangers,'47-2140,Summary,Projections for 47-2140,
"        Painters, construction and maintenance",'47-2141,Line item,Projections for 47-2141,
        Paperhangers,'47-2142,Line item,Projections for 47-2142,
"      Pipelayers, plumbers, pipefitters, and steamfitters",'47-2150,Summary,Projections for 47-2150,
        Pipelayers,'47-2151,Line item,Projections for 47-2151,
"        Plumbers, pipefitters, and steamfitters",'47-2152,Line item,Projections for 47-2152,
      Plasterers and stucco masons,'47-2161,Line item,Projections for 47-2161,
      Reinforcing iron and rebar workers,'47-2171,Line item,Projections for 47-2171,
      Roofers,'47-2181,Line item,Projections for 47-2181,
      Sheet metal workers,'47-2211,Line item,Projections for 47-2211,
      Structural iron and steel workers,'47-2221,Line item,Projections for 47-2221,
      Solar photovoltaic installers,'47-2231,Line item,Projections for 47-2231,
"    Helpers, construction trades",'47-3000,Summary,Projections for 47-3000,
"      Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",'47-3011,Line item,Projections for 47-3011,
      Helpers--carpenters,'47-3012,Line item,Projections for 47-3012,
      Helpers--electricians,'47-3013,Line item,Projections for 47-3013,
"      Helpers--painters, paperhangers, plasterers, and stucco masons",'47-3014,Line item,Projections for 47-3014,
"      Helpers--pipelayers, plumbers, pipefitters, and steamfitters",'47-3015,Line item,Projections for 47-3015,
      Helpers--roofers,'47-3016,Line item,Projections for 47-3016,
"      Helpers, construction trades, all other",'47-3019,Line item,Projections for 47-3019,
    Other construction and related workers,'47-4000,Summary,Projections for 47-4000,
      Construction and building inspectors,'47-4011,Line item,Projections for 47-4011,
      Elevator and escalator installers and repairers,'47-4021,Line item,Projections for 47-4021,
      Fence erectors,'47-4031,Line item,Projections for 47-4031,
      Hazardous materials removal workers,'47-4041,Line item,Projections for 47-4041,
      Highway maintenance workers,'47-4051,Line item,Projections for 47-4051,
      Rail-track laying and maintenance equipment operators,'47-4061,Line item,Projections for 47-4061,
      Septic tank servicers and sewer pipe cleaners,'47-4071,Line item,Projections for 47-4071,
      Miscellaneous construction and related workers,'47-4090,Line item,Projections for 47-4090,
    Extraction workers,'47-5000,Summary,Projections for 47-5000,
"      Derrick, rotary drill, and service unit operators, oil and gas",'47-5010,Summary,Projections for 47-5010,
"        Derrick operators, oil and gas",'47-5011,Line item,Projections for 47-5011,
"        Rotary drill operators, oil and gas",'47-5012,Line item,Projections for 47-5012,
"        Service unit operators, oil and gas",'47-5013,Line item,Projections for 47-5013,
      Surface mining machine operators and earth drillers,'47-5020,Summary,Projections for 47-5020,
"        Excavating and loading machine and dragline operators, surface mining",'47-5022,Line item,Projections for 47-5022,
"        Earth drillers, except oil and gas",'47-5023,Line item,Projections for 47-5023,
"      Explosives workers, ordnance handling experts, and blasters",'47-5032,Line item,Projections for 47-5032,
      Underground mining machine operators,'47-5040,Summary,Projections for 47-5040,
        Continuous mining machine operators,'47-5041,Line item,Projections for 47-5041,
"        Roof bolters, mining",'47-5043,Line item,Projections for 47-5043,
"        Loading and moving machine operators, underground mining",'47-5044,Line item,Projections for 47-5044,
"        Underground mining machine operators, all other",'47-5049,Line item,Projections for 47-5049,
"      Rock splitters, quarry",'47-5051,Line item,Projections for 47-5051,
"      Roustabouts, oil and gas",'47-5071,Line item,Projections for 47-5071,
      Helpers--extraction workers,'47-5081,Line item,Projections for 47-5081,
"      Extraction workers, all other",'47-5099,Line item,Projections for 47-5099,
"  Installation, maintenance, and repair occupations",'49-0000,Summary,Projections for 49-0000,
"    Supervisors of installation, maintenance, and repair workers",'49-1000,Summary,Projections for 49-1000,
"      First-line supervisors of mechanics, installers, and repairers",'49-1011,Line item,Projections for 49-1011,
"    Electrical and electronic equipment mechanics, installers, and repairers",'49-2000,Summary,Projections for 49-2000,
"      Computer, automated teller, and office machine repairers",'49-2011,Line item,Projections for 49-2011,
      Radio and telecommunications equipment installers and repairers,'49-2020,Summary,Projections for 49-2020,
"        Radio, cellular, and tower equipment installers and repairers",'49-2021,Line item,Projections for 49-2021,
"        Telecommunications equipment installers and repairers, except line installers",'49-2022,Line item,Projections for 49-2022,
"      Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",'49-2090,Summary,Projections for 49-2090,
        Avionics technicians,'49-2091,Line item,Projections for 49-2091,
"        Electric motor, power tool, and related repairers",'49-2092,Line item,Projections for 49-2092,
"        Electrical and electronics installers and repairers, transportation equipment",'49-2093,Line item,Projections for 49-2093,
"        Electrical and electronics repairers, commercial and industrial equipment",'49-2094,Line item,Projections for 49-2094,
"        Electrical and electronics repairers, powerhouse, substation, and relay",'49-2095,Line item,Projections for 49-2095,
"        Electronic equipment installers and repairers, motor vehicles",'49-2096,Line item,Projections for 49-2096,
        Audiovisual equipment installers and repairers,'49-2097,Line item,Projections for 49-2097,
        Security and fire alarm systems installers,'49-2098,Line item,Projections for 49-2098,
"    Vehicle and mobile equipment mechanics, installers, and repairers",'49-3000,Summary,Projections for 49-3000,
      Aircraft mechanics and service technicians,'49-3011,Line item,Projections for 49-3011,
      Automotive technicians and repairers,'49-3020,Summary,Projections for 49-3020,
        Automotive body and related repairers,'49-3021,Line item,Projections for 49-3021,
        Automotive glass installers and repairers,'49-3022,Line item,Projections for 49-3022,
        Automotive service technicians and mechanics,'49-3023,Line item,Projections for 49-3023,
      Bus and truck mechanics and diesel engine specialists,'49-3031,Line item,Projections for 49-3031,
      Heavy vehicle and mobile equipment service technicians and mechanics,'49-3040,Summary,Projections for 49-3040,
        Farm equipment mechanics and service technicians,'49-3041,Line item,Projections for 49-3041,
"        Mobile heavy equipment mechanics, except engines",'49-3042,Line item,Projections for 49-3042,
        Rail car repairers,'49-3043,Line item,Projections for 49-3043,
      Small engine mechanics,'49-3050,Summary,Projections for 49-3050,
        Motorboat mechanics and service technicians,'49-3051,Line item,Projections for 49-3051,
        Motorcycle mechanics,'49-3052,Line item,Projections for 49-3052,
        Outdoor power equipment and other small engine mechanics,'49-3053,Line item,Projections for 49-3053,
"      Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",'49-3090,Summary,Projections for 49-3090,
        Bicycle repairers,'49-3091,Line item,Projections for 49-3091,
        Recreational vehicle service technicians,'49-3092,Line item,Projections for 49-3092,
        Tire repairers and changers,'49-3093,Line item,Projections for 49-3093,
"    Other installation, maintenance, and repair occupations",'49-9000,Summary,Projections for 49-9000,
      Control and valve installers and repairers,'49-9010,Summary,Projections for 49-9010,
        Mechanical door repairers,'49-9011,Line item,Projections for 49-9011,
"        Control and valve installers and repairers, except mechanical door",'49-9012,Line item,Projections for 49-9012,
"      Heating, air conditioning, and refrigeration mechanics and installers",'49-9021,Line item,Projections for 49-9021,
      Home appliance repairers,'49-9031,Line item,Projections for 49-9031,
"      Industrial machinery installation, repair, and maintenance workers",'49-9040,Summary,Projections for 49-9040,
        Industrial machinery mechanics,'49-9041,Line item,Projections for 49-9041,
"        Maintenance workers, machinery",'49-9043,Line item,Projections for 49-9043,
        Millwrights,'49-9044,Line item,Projections for 49-9044,
"        Refractory materials repairers, except brickmasons",'49-9045,Line item,Projections for 49-9045,
      Line installers and repairers,'49-9050,Summary,Projections for 49-9050,
        Electrical power-line installers and repairers,'49-9051,Line item,Projections for 49-9051,
        Telecommunications line installers and repairers,'49-9052,Line item,Projections for 49-9052,
      Precision instrument and equipment repairers,'49-9060,Summary,Projections for 49-9060,
        Camera and photographic equipment repairers,'49-9061,Line item,Projections for 49-9061,
        Medical equipment repairers,'49-9062,Line item,Projections for 49-9062,
        Musical instrument repairers and tuners,'49-9063,Line item,Projections for 49-9063,
        Watch and clock repairers,'49-9064,Line item,Projections for 49-9064,
"        Precision instrument and equipment repairers, all other",'49-9069,Line item,Projections for 49-9069,
"      Maintenance and repair workers, general",'49-9071,Line item,Projections for 49-9071,
      Wind turbine service technicians,'49-9081,Line item,Projections for 49-9081,
"      Miscellaneous installation, maintenance, and repair workers",'49-9090,Summary,Projections for 49-9090,
"        Coin, vending, and amusement machine servicers and repairers",'49-9091,Line item,Projections for 49-9091,
        Commercial divers,'49-9092,Line item,Projections for 49-9092,
        Locksmiths and safe repairers,'49-9094,Line item,Projections for 49-9094,
        Manufactured building and mobile home installers,'49-9095,Line item,Projections for 49-9095,
        Riggers,'49-9096,Line item,Projections for 49-9096,
        Signal and track switch repairers,'49-9097,Line item,Projections for 49-9097,
"        Helpers--installation, maintenance, and repair workers",'49-9098,Line item,Projections for 49-9098,
"        Installation, maintenance, and repair workers, all other",'49-9099,Line item,Projections for 49-9099,
  Production occupations,'51-0000,Summary,Projections for 51-0000,
    Supervisors of production workers,'51-1000,Summary,Projections for 51-1000,
      First-line supervisors of production and operating workers,'51-1011,Line item,Projections for 51-1011,
    Assemblers and fabricators,'51-2000,Summary,Projections for 51-2000,
"      Aircraft structure, surfaces, rigging, and systems assemblers",'51-2011,Line item,Projections for 51-2011,
"      Electrical, electronics, and electromechanical assemblers",'51-2020,Summary,Projections for 51-2020,
"        Coil winders, tapers, and finishers",'51-2021,Line item,Projections for 51-2021,
"        Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",'51-2028,Line item,Projections for 51-2028,
      Engine and other machine assemblers,'51-2031,Line item,Projections for 51-2031,
      Structural metal fabricators and fitters,'51-2041,Line item,Projections for 51-2041,
      Fiberglass laminators and fabricators,'51-2051,Line item,Projections for 51-2051,
      Timing device assemblers and adjusters,'51-2061,Line item,Projections for 51-2061,
      Miscellaneous assemblers and fabricators,'51-2090,Line item,Projections for 51-2090,
    Food processing workers,'51-3000,Summary,Projections for 51-3000,
      Bakers,'51-3011,Line item,Projections for 51-3011,
"      Butchers and other meat, poultry, and fish processing workers",'51-3020,Summary,Projections for 51-3020,
        Butchers and meat cutters,'51-3021,Line item,Projections for 51-3021,
"        Meat, poultry, and fish cutters and trimmers",'51-3022,Line item,Projections for 51-3022,
        Slaughterers and meat packers,'51-3023,Line item,Projections for 51-3023,
      Miscellaneous food processing workers,'51-3090,Summary,Projections for 51-3090,
"        Food and tobacco roasting, baking, and drying machine operators and tenders",'51-3091,Line item,Projections for 51-3091,
        Food batchmakers,'51-3092,Line item,Projections for 51-3092,
        Food cooking machine operators and tenders,'51-3093,Line item,Projections for 51-3093,
"        Food processing workers, all other",'51-3099,Line item,Projections for 51-3099,
    Metal workers and plastic workers,'51-4000,Summary,Projections for 51-4000,
"      Forming machine setters, operators, and tenders, metal and plastic",'51-4020,Summary,Projections for 51-4020,
"        Extruding and drawing machine setters, operators, and tenders, metal and plastic",'51-4021,Line item,Projections for 51-4021,
"        Forging machine setters, operators, and tenders, metal and plastic",'51-4022,Line item,Projections for 51-4022,
"        Rolling machine setters, operators, and tenders, metal and plastic",'51-4023,Line item,Projections for 51-4023,
"      Machine tool cutting setters, operators, and tenders, metal and plastic",'51-4030,Summary,Projections for 51-4030,
"        Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",'51-4031,Line item,Projections for 51-4031,
"        Drilling and boring machine tool setters, operators, and tenders, metal and plastic",'51-4032,Line item,Projections for 51-4032,
"        Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",'51-4033,Line item,Projections for 51-4033,
"        Lathe and turning machine tool setters, operators, and tenders, metal and plastic",'51-4034,Line item,Projections for 51-4034,
"        Milling and planing machine setters, operators, and tenders, metal and plastic",'51-4035,Line item,Projections for 51-4035,
      Machinists,'51-4041,Line item,Projections for 51-4041,
"      Metal furnace operators, tenders, pourers, and casters",'51-4050,Summary,Projections for 51-4050,
        Metal-refining furnace operators and tenders,'51-4051,Line item,Projections for 51-4051,
"        Pourers and casters, metal",'51-4052,Line item,Projections for 51-4052,
"      Model makers and patternmakers, metal and plastic",'51-4060,Summary,Projections for 51-4060,
"        Model makers, metal and plastic",'51-4061,Line item,Projections for 51-4061,
"        Patternmakers, metal and plastic",'51-4062,Line item,Projections for 51-4062,
"      Molders and molding machine setters, operators, and tenders, metal and plastic",'51-4070,Summary,Projections for 51-4070,
        Foundry mold and coremakers,'51-4071,Line item,Projections for 51-4071,
"        Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",'51-4072,Line item,Projections for 51-4072,
"      Multiple machine tool setters, operators, and tenders, metal and plastic",'51-4081,Line item,Projections for 51-4081,
      Tool and die makers,'51-4111,Line item,Projections for 51-4111,
"      Welding, soldering, and brazing workers",'51-4120,Summary,Projections for 51-4120,
"        Welders, cutters, solderers, and brazers",'51-4121,Line item,Projections for 51-4121,
"        Welding, soldering, and brazing machine setters, operators, and tenders",'51-4122,Line item,Projections for 51-4122,
      Miscellaneous metal workers and plastic workers,'51-4190,Summary,Projections for 51-4190,
"        Heat treating equipment setters, operators, and tenders, metal and plastic",'51-4191,Line item,Projections for 51-4191,
"        Layout workers, metal and plastic",'51-4192,Line item,Projections for 51-4192,
"        Plating machine setters, operators, and tenders, metal and plastic",'51-4193,Line item,Projections for 51-4193,
"        Tool grinders, filers, and sharpeners",'51-4194,Line item,Projections for 51-4194,
"        Metal workers and plastic workers, all other",'51-4199,Line item,Projections for 51-4199,
    Printing workers,'51-5100,Summary,Projections for 51-5100,
      Prepress technicians and workers,'51-5111,Line item,Projections for 51-5111,
      Printing press operators,'51-5112,Line item,Projections for 51-5112,
      Print binding and finishing workers,'51-5113,Line item,Projections for 51-5113,
"    Textile, apparel, and furnishings workers",'51-6000,Summary,Projections for 51-6000,
      Laundry and dry-cleaning workers,'51-6011,Line item,Projections for 51-6011,
"      Pressers, textile, garment, and related materials",'51-6021,Line item,Projections for 51-6021,
      Sewing machine operators,'51-6031,Line item,Projections for 51-6031,
      Shoe and leather workers,'51-6040,Summary,Projections for 51-6040,
        Shoe and leather workers and repairers,'51-6041,Line item,Projections for 51-6041,
        Shoe machine operators and tenders,'51-6042,Line item,Projections for 51-6042,
"      Tailors, dressmakers, and sewers",'51-6050,Summary,Projections for 51-6050,
"        Sewers, hand",'51-6051,Line item,Projections for 51-6051,
"        Tailors, dressmakers, and custom sewers",'51-6052,Line item,Projections for 51-6052,
"      Textile machine setters, operators, and tenders",'51-6060,Summary,Projections for 51-6060,
        Textile bleaching and dyeing machine operators and tenders,'51-6061,Line item,Projections for 51-6061,
"        Textile cutting machine setters, operators, and tenders",'51-6062,Line item,Projections for 51-6062,
"        Textile knitting and weaving machine setters, operators, and tenders",'51-6063,Line item,Projections for 51-6063,
"        Textile winding, twisting, and drawing out machine setters, operators, and tenders",'51-6064,Line item,Projections for 51-6064,
"      Miscellaneous textile, apparel, and furnishings workers",'51-6090,Summary,Projections for 51-6090,
"        Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",'51-6091,Line item,Projections for 51-6091,
        Fabric and apparel patternmakers,'51-6092,Line item,Projections for 51-6092,
        Upholsterers,'51-6093,Line item,Projections for 51-6093,
"        Textile, apparel, and furnishings workers, all other",'51-6099,Line item,Projections for 51-6099,
    Woodworkers,'51-7000,Summary,Projections for 51-7000,
      Cabinetmakers and bench carpenters,'51-7011,Line item,Projections for 51-7011,
      Furniture finishers,'51-7021,Line item,Projections for 51-7021,
"      Model makers and patternmakers, wood",'51-7030,Summary,Projections for 51-7030,
"        Model makers, wood",'51-7031,Line item,Projections for 51-7031,
"        Patternmakers, wood",'51-7032,Line item,Projections for 51-7032,
"      Woodworking machine setters, operators, and tenders",'51-7040,Summary,Projections for 51-7040,
"        Sawing machine setters, operators, and tenders, wood",'51-7041,Line item,Projections for 51-7041,
"        Woodworking machine setters, operators, and tenders, except sawing",'51-7042,Line item,Projections for 51-7042,
"      Woodworkers, all other",'51-7099,Line item,Projections for 51-7099,
    Plant and system operators,'51-8000,Summary,Projections for 51-8000,
"      Power plant operators, distributors, and dispatchers",'51-8010,Summary,Projections for 51-8010,
        Nuclear power reactor operators,'51-8011,Line item,Projections for 51-8011,
        Power distributors and dispatchers,'51-8012,Line item,Projections for 51-8012,
        Power plant operators,'51-8013,Line item,Projections for 51-8013,
      Stationary engineers and boiler operators,'51-8021,Line item,Projections for 51-8021,
      Water and wastewater treatment plant and system operators,'51-8031,Line item,Projections for 51-8031,
      Miscellaneous plant and system operators,'51-8090,Summary,Projections for 51-8090,
        Chemical plant and system operators,'51-8091,Line item,Projections for 51-8091,
        Gas plant operators,'51-8092,Line item,Projections for 51-8092,
"        Petroleum pump system operators, refinery operators, and gaugers",'51-8093,Line item,Projections for 51-8093,
"        Plant and system operators, all other",'51-8099,Line item,Projections for 51-8099,
    Other production occupations,'51-9000,Summary,Projections for 51-9000,
"      Chemical processing machine setters, operators, and tenders",'51-9010,Summary,Projections for 51-9010,
        Chemical equipment operators and tenders,'51-9011,Line item,Projections for 51-9011,
"        Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",'51-9012,Line item,Projections for 51-9012,
"      Crushing, grinding, polishing, mixing, and blending workers",'51-9020,Summary,Projections for 51-9020,
"        Crushing, grinding, and polishing machine setters, operators, and tenders",'51-9021,Line item,Projections for 51-9021,
"        Grinding and polishing workers, hand",'51-9022,Line item,Projections for 51-9022,
"        Mixing and blending machine setters, operators, and tenders",'51-9023,Line item,Projections for 51-9023,
      Cutting workers,'51-9030,Summary,Projections for 51-9030,
"        Cutters and trimmers, hand",'51-9031,Line item,Projections for 51-9031,
"        Cutting and slicing machine setters, operators, and tenders",'51-9032,Line item,Projections for 51-9032,
"      Extruding, forming, pressing, and compacting machine setters, operators, and tenders",'51-9041,Line item,Projections for 51-9041,
"      Furnace, kiln, oven, drier, and kettle operators and tenders",'51-9051,Line item,Projections for 51-9051,
"      Inspectors, testers, sorters, samplers, and weighers",'51-9061,Line item,Projections for 51-9061,
      Jewelers and precious stone and metal workers,'51-9071,Line item,Projections for 51-9071,
      Dental and ophthalmic laboratory technicians and medical appliance technicians,'51-9080,Summary,Projections for 51-9080,
        Dental laboratory technicians,'51-9081,Line item,Projections for 51-9081,
        Medical appliance technicians,'51-9082,Line item,Projections for 51-9082,
        Ophthalmic laboratory technicians,'51-9083,Line item,Projections for 51-9083,
      Packaging and filling machine operators and tenders,'51-9111,Line item,Projections for 51-9111,
      Painting workers,'51-9120,Summary,Projections for 51-9120,
"        Painting, coating, and decorating workers",'51-9123,Line item,Projections for 51-9123,
"        Coating, painting, and spraying machine setters, operators, and tenders",'51-9124,Line item,Projections for 51-9124,
      Semiconductor processing technicians,'51-9141,Line item,Projections for 51-9141,
      Photographic process workers and processing machine operators,'51-9151,Line item,Projections for 51-9151,
      Computer numerically controlled tool operators and programmers,'51-9160,Summary,Projections for 51-9160,
        Computer numerically controlled tool operators,'51-9161,Line item,Projections for 51-9161,
        Computer numerically controlled tool programmers,'51-9162,Line item,Projections for 51-9162,
      Miscellaneous production workers,'51-9190,Summary,Projections for 51-9190,
        Adhesive bonding machine operators and tenders,'51-9191,Line item,Projections for 51-9191,
"        Cleaning, washing, and metal pickling equipment operators and tenders",'51-9192,Line item,Projections for 51-9192,
        Cooling and freezing equipment operators and tenders,'51-9193,Line item,Projections for 51-9193,
        Etchers and engravers,'51-9194,Line item,Projections for 51-9194,
"        Molders, shapers, and casters, except metal and plastic",'51-9195,Line item,Projections for 51-9195,
"        Paper goods machine setters, operators, and tenders",'51-9196,Line item,Projections for 51-9196,
        Tire builders,'51-9197,Line item,Projections for 51-9197,
        Helpers--production workers,'51-9198,Line item,Projections for 51-9198,
"        Production workers, all other",'51-9199,Line item,Projections for 51-9199,
  Transportation and material moving occupations,'53-0000,Summary,Projections for 53-0000,
    Supervisors of transportation and material moving workers,'53-1000,Summary,Projections for 53-1000,
      Aircraft cargo handling supervisors,'53-1041,Line item,Projections for 53-1041,
"      First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",'53-1047,Line item,Projections for 53-1047,
    Air transportation workers,'53-2000,Summary,Projections for 53-2000,
      Aircraft pilots and flight engineers,'53-2010,Summary,Projections for 53-2010,
"        Airline pilots, copilots, and flight engineers",'53-2011,Line item,Projections for 53-2011,
        Commercial pilots,'53-2012,Line item,Projections for 53-2012,
      Air traffic controllers and airfield operations specialists,'53-2020,Summary,Projections for 53-2020,
        Air traffic controllers,'53-2021,Line item,Projections for 53-2021,
        Airfield operations specialists,'53-2022,Line item,Projections for 53-2022,
      Flight attendants,'53-2031,Line item,Projections for 53-2031,
    Motor vehicle operators,'53-3000,Summary,Projections for 53-3000,
"      Ambulance drivers and attendants, except emergency medical technicians",'53-3011,Line item,Projections for 53-3011,
      Driver/sales workers and truck drivers,'53-3030,Summary,Projections for 53-3030,
        Driver/sales workers,'53-3031,Line item,Projections for 53-3031,
        Heavy and tractor-trailer truck drivers,'53-3032,Line item,Projections for 53-3032,
        Light truck drivers,'53-3033,Line item,Projections for 53-3033,
      Passenger vehicle drivers,'53-3050,Summary,Projections for 53-3050,
"        Bus drivers, school",'53-3051,Line item,Projections for 53-3051,
"        Bus drivers, transit and intercity",'53-3052,Line item,Projections for 53-3052,
        Shuttle drivers and chauffeurs,'53-3053,Line item,Projections for 53-3053,
        Taxi drivers,'53-3054,Line item,Projections for 53-3054,
"      Motor vehicle operators, all other",'53-3099,Line item,Projections for 53-3099,
    Rail transportation workers,'53-4000,Summary,Projections for 53-4000,
      Locomotive engineers and operators,'53-4010,Summary,Projections for 53-4010,
        Locomotive engineers,'53-4011,Line item,Projections for 53-4011,
"        Rail yard engineers, dinkey operators, and hostlers",'53-4013,Line item,Projections for 53-4013,
"      Railroad brake, signal, and switch operators and locomotive firers",'53-4022,Line item,Projections for 53-4022,
      Railroad conductors and yardmasters,'53-4031,Line item,Projections for 53-4031,
      Subway and streetcar operators,'53-4041,Line item,Projections for 53-4041,
"      Rail transportation workers, all other",'53-4099,Line item,Projections for 53-4099,
    Water transportation workers,'53-5000,Summary,Projections for 53-5000,
      Sailors and marine oilers,'53-5011,Line item,Projections for 53-5011,
      Ship and boat captains and operators,'53-5020,Summary,Projections for 53-5020,
"        Captains, mates, and pilots of water vessels",'53-5021,Line item,Projections for 53-5021,
        Motorboat operators,'53-5022,Line item,Projections for 53-5022,
      Ship engineers,'53-5031,Line item,Projections for 53-5031,
    Other transportation workers,'53-6000,Summary,Projections for 53-6000,
      Bridge and lock tenders,'53-6011,Line item,Projections for 53-6011,
      Parking attendants,'53-6021,Line item,Projections for 53-6021,
      Transportation service attendants,'53-6030,Summary,Projections for 53-6030,
        Automotive and watercraft service attendants,'53-6031,Line item,Projections for 53-6031,
        Aircraft service attendants,'53-6032,Line item,Projections for 53-6032,
      Traffic technicians,'53-6041,Line item,Projections for 53-6041,
      Transportation inspectors,'53-6051,Line item,Projections for 53-6051,
      Passenger attendants,'53-6061,Line item,Projections for 53-6061,
"      Transportation workers, all other",'53-6099,Line item,Projections for 53-6099,
    Material moving workers,'53-7000,Summary,Projections for 53-7000,
      Conveyor operators and tenders,'53-7011,Line item,Projections for 53-7011,
      Crane and tower operators,'53-7021,Line item,Projections for 53-7021,
      Dredge operators,'53-7031,Line item,Projections for 53-7031,
      Hoist and winch operators,'53-7041,Line item,Projections for 53-7041,
      Industrial truck and tractor operators,'53-7051,Line item,Projections for 53-7051,
      Laborers and material movers,'53-7060,Summary,Projections for 53-7060,
        Cleaners of vehicles and equipment,'53-7061,Line item,Projections for 53-7061,
"        Laborers and freight, stock, and material movers, hand",'53-7062,Line item,Projections for 53-7062,
        Machine feeders and offbearers,'53-7063,Line item,Projections for 53-7063,
"        Packers and packagers, hand",'53-7064,Line item,Projections for 53-7064,
        Stockers and order fillers,'53-7065,Line item,Projections for 53-7065,
      Pumping station operators,'53-7070,Summary,Projections for 53-7070,
        Gas compressor and gas pumping station operators,'53-7071,Line item,Projections for 53-7071,
"        Pump operators, except wellhead pumpers",'53-7072,Line item,Projections for 53-7072,
        Wellhead pumpers,'53-7073,Line item,Projections for 53-7073,
      Refuse and recyclable material collectors,'53-7081,Line item,Projections for 53-7081,
"      Tank car, truck, and ship loaders",'53-7121,Line item,Projections for 53-7121,
"      Material moving workers, all other",'53-7199,Line item,Projections for 53-7199,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",',,,
